Tanggal&Waktu,Username,Tweet
2022-06-13 10:37:45+00:00,ekky1995,"@mynameprada Harusnya Prabowo sih, soalnya Purnomo lagi fokus main NFT #eh"
2022-06-13 10:37:26+00:00,BULANKEMENAGAN,@cloudgemz @DAOMetaplayer @ScrappyPenguins @Apeone_nft @angryalien21 Ya Allah ya Allah ya Allah https://t.co/voYMFPQqyd
2022-06-13 10:37:20+00:00,moldovansilviu8,"@Tikidy_NFT @VizoliP @CotoiP @rusuclaudiu83 

TIKIDY FREE MINT"
2022-06-13 10:37:12+00:00,Hybrid_IDN,Marketplace NFT Fractal Mudahkan Pembuatan Crypto Wallet Lewat Integrasi Google https://t.co/9C3pcH8osC
2022-06-13 10:36:54+00:00,rakhmadi_tcytyx,"@missufe @FirstClass_NFT Bismillahirrahmanirrahim..
Semoga win.. https://t.co/0SYN4yIsXp"
2022-06-13 10:36:25+00:00,Galdra_m,#イラスト #絵 #アート #illustration #art #artwork #拡散 #nftart #NFT #Metavarse #opensea #nftcollector #nft… https://t.co/i4oQBkH28g
2022-06-13 10:35:53+00:00,kiyopta97,"@missufe @FirstClass_NFT udhhh makji,wml https://t.co/3zbkWwhxZ5"
2022-06-13 10:35:49+00:00,ellyoyeah,@SHON_NFT Thank you shonnnnnnn. Kangen shon bgt!
2022-06-13 10:35:42+00:00,TeamShakeri,"RT @abhicrusher: #NFT #NFTs #NFTCommunity Mobox Avatar #8166365
https://t.co/BZePVybmw5 https://t.co/P9BnyP6f6a"
2022-06-13 10:35:32+00:00,shadowz_nft,@G_BazCrypto @6x7x6x7 @GutterCatGang @ABigThingBadly @heckman_eth @Stoniphantom 🔥🐶🤩 Gang Gang
2022-06-13 10:34:56+00:00,magnum__o,"RT @botSattoNFT: 🚨 CUBIST 4457 SOLD!!! =&gt; PRICE 6,9 S◎L ($189.82 💵) 
RANK M: ⍜4875  RANK HR: N/R  🧹FP: 7,3 S◎L 
📥 OWNER: Hs2FB7bfWw9osUkUFA…"
2022-06-13 10:34:42+00:00,shadowz_nft,@GutterMitch Gang gang
2022-06-13 10:34:25+00:00,420Kusama,"#1 @cypher_reader 
#2 @AlexMartinez__ 
#3 @Decentralizdme 
#4 @ArticKusama 
#5 FDMSrvdLAWDH9mFmxyBNULJbG7KKgVPPDQMP… https://t.co/j3NBdZe9KM"
2022-06-13 10:34:16+00:00,sorvacheva_art,"Mini trip to Canggu🏍

#NFTCommumity #NFTfamily #nft #BoredApeYachtClub https://t.co/npL9fJBP8S"
2022-06-13 10:33:51+00:00,artist1c_,"RT @zahanoma: GN GUYS..

Cara “Add to photo” asset NFT kita dari mana-mana network blockchain..

Step dia sama jer.. 

harap membantu.. 🧵
@…"
2022-06-13 10:33:18+00:00,VizoliP,"@Tikidy_NFT TIKIDY FREE MINT
@moldovansilviu8 @rusuclaudiu83 @busula18 @CotoiP @OrojanP
https://t.co/lwrppVOKOZ"
2022-06-13 10:33:15+00:00,sweetness_win,"@FirstClass_NFT @15lovenft Tag ya Bestie, terimakasih
@mq9jt 
@PickAlfiNS"
2022-06-13 10:31:00+00:00,Veyselk32697563,"RT @PromoterLenka: 💰 $20 | 340 TL 💰

♦️RT &amp; Follow @PromoterLenka 
♦️Turn on 🔔

⏰ 12 H

#NFTGiveaway #NFTCommunity #NFT #NFTs   #Giveaway …"
2022-06-13 10:30:27+00:00,abztrctz,New Drop ABZTRCTZ x GRPTRSJLN / Audio I Series https://t.co/DO481Vy4AA #nft #nftart #openseanft @opensea… https://t.co/chaccLcFyY
2022-06-13 10:29:00+00:00,botSattoNFT,"🚨 CUBIST 4457 SOLD!!! =&gt; PRICE 6,9 S◎L ($189.82 💵) 
RANK M: ⍜4875  RANK HR: N/R  🧹FP: 7,3 S◎L 
📥 OWNER: Hs2FB7bfWw9… https://t.co/tMbt3EZnxG"
2022-06-13 10:28:48+00:00,Balam5551,"@omega_alpha_nft @ProjectSuisei @LegatoFP @DirtyDonz
@Muhammad Suleman1
@Randos by Yubo"
